,CustomerID,TotalSpend,TransactionCount,RecencyDays,Cluster
0,C0001,3354.5200000000004,5,86,3
1,C0002,1862.74,4,55,1
2,C0003,2725.38,4,155,1
3,C0004,5354.88,8,35,0
4,C0005,2034.24,3,84,1
5,C0006,4227.57,4,112,3
6,C0007,2579.8199999999997,3,155,1
7,C0008,4271.61,10,41,0
8,C0009,896.5,3,107,1
9,C0010,1717.5500000000002,4,71,1
10,C0011,3730.0,5,32,3
11,C0012,5231.259999999999,7,33,0
12,C0013,6000.56,7,85,0
13,C0014,318.66,1,375,2
14,C0015,1157.48,2,128,1
15,C0016,3874.42,5,77,3
16,C0017,4753.82,8,56,0
17,C0018,4781.85,5,176,3
18,C0019,2185.8199999999997,6,80,1
19,C0020,922.41,1,363,2
20,C0021,5419.92,8,107,0
21,C0022,4655.07,6,132,3
22,C0023,5158.65,6,77,3
23,C0024,3627.02,7,125,3
24,C0025,1589.81,4,166,1
25,C0026,3549.05,4,110,3
26,C0027,2562.94,4,107,1
27,C0028,6819.57,8,33,0
28,C0029,1785.8700000000001,4,32,1
29,C0030,2549.6800000000003,5,43,1
30,C0031,2005.38,4,64,1
31,C0032,673.0,3,60,1
32,C0033,132.64,1,205,2
33,C0034,3073.2000000000003,6,96,3
34,C0035,2587.61,4,119,1
35,C0036,1877.96,3,86,1
36,C0037,4252.77,5,118,3
37,C0038,2696.85,5,45,1
38,C0039,4239.6,6,92,3
39,C0040,3969.3999999999996,3,192,3
40,C0041,6149.78,7,42,0
41,C0042,2402.49,3,78,1
42,C0043,1131.3200000000002,3,130,1
43,C0044,3230.1099999999997,3,97,1
44,C0045,6021.8,7,154,3
45,C0046,5627.83,7,124,3
46,C0047,2870.54,7,157,3
47,C0048,3850.9399999999996,5,53,3
48,C0049,2315.48,8,150,3
49,C0050,3068.83,3,70,1
50,C0051,5699.57,7,42,0
51,C0052,2488.01,4,148,1
52,C0053,5316.46,6,87,3
53,C0054,8040.389999999999,8,112,0
54,C0055,2857.6800000000003,5,118,3
55,C0056,3182.94,5,32,1
56,C0057,4536.4,6,40,3
57,C0058,396.34,1,361,2
58,C0059,7073.28,8,95,0
59,C0060,82.36,1,146,1
60,C0061,2138.26,3,48,1
61,C0062,1639.54,3,201,2
62,C0063,1378.1699999999998,2,121,1
63,C0064,4039.77,5,52,3
64,C0065,7663.7,10,44,0
65,C0066,3799.2799999999997,3,151,3
66,C0067,4090.84,6,102,3
67,C0068,5950.42,8,33,0
68,C0069,2878.69,5,49,1
69,C0070,3125.49,4,112,1
70,C0071,1400.83,3,157,1
71,C0072,2999.59,5,85,1
72,C0073,2060.54,3,313,2
73,C0074,3055.2200000000003,3,182,1
74,C0075,5848.97,9,47,0
75,C0076,2333.06,5,56,1
76,C0077,837.3,3,85,1
77,C0078,995.52,1,49,1
78,C0079,4251.5599999999995,4,180,3
79,C0080,1007.52,1,321,2
80,C0081,3542.48,6,79,3
81,C0082,7572.91,7,58,0
82,C0083,642.8,3,41,1
83,C0084,4441.1,9,42,0
84,C0085,2598.33,3,107,1
85,C0086,2754.68,5,32,1
86,C0087,6604.23,7,135,0
87,C0088,2135.38,5,43,1
88,C0089,2556.2200000000003,2,54,1
89,C0090,4138.16,7,137,3
90,C0091,3137.66,6,167,3
91,C0092,3015.95,4,42,1
92,C0093,5294.99,9,133,0
93,C0094,1166.97,4,83,1
94,C0095,1284.27,2,119,1
95,C0096,6072.92,5,47,3
96,C0097,137.54,1,310,2
97,C0098,3158.02,8,34,0
98,C0099,6715.72,8,34,0
99,C0100,5003.45,6,144,3
100,C0101,5550.99,8,30,0
101,C0102,6132.360000000001,8,147,0
102,C0103,2462.5499999999997,5,118,1
103,C0104,6579.1,8,84,0
104,C0105,4807.45,6,145,3
105,C0106,2939.3,5,61,1
106,C0107,3623.92,5,97,3
107,C0108,4848.54,7,116,3
108,C0109,5487.25,11,81,0
109,C0110,942.32,1,390,2
110,C0111,1973.02,5,45,1
111,C0112,1959.51,3,201,2
112,C0113,4812.1,8,61,0
113,C0114,5780.43,5,126,3
114,C0115,3137.18,3,36,1
115,C0116,2758.6800000000003,6,89,3
116,C0117,4028.2700000000004,4,174,3
117,C0118,3434.77,6,40,3
118,C0119,1191.61,5,31,1
119,C0120,2470.02,3,172,1
120,C0121,974.52,4,121,1
121,C0122,5072.55,7,40,0
122,C0123,1400.06,2,75,1
123,C0124,4264.33,7,112,3
124,C0125,2973.96,4,156,1
125,C0126,4565.57,6,59,3
126,C0127,3232.88,6,129,3
127,C0128,773.19,2,246,2
128,C0129,2339.61,3,109,1
129,C0130,601.36,1,257,2
130,C0131,1943.82,3,38,1
131,C0132,1851.2599999999998,3,51,1
132,C0133,2884.33,4,53,1
133,C0134,2679.28,5,48,1
134,C0135,3135.58,4,115,1
135,C0136,4298.99,6,77,3
136,C0137,3332.55,5,34,1
137,C0138,5610.25,5,40,3
138,C0139,3703.64,8,113,3
139,C0140,1888.1399999999999,2,103,1
140,C0141,10673.869999999999,10,54,0
141,C0142,2239.04,4,33,1
142,C0143,6044.63,7,40,0
143,C0144,1304.6799999999998,2,274,2
144,C0145,5771.27,8,62,0
145,C0146,2570.8,4,39,1
146,C0147,2948.44,9,33,0
147,C0148,5457.79,5,117,3
148,C0149,4404.78,5,151,3
149,C0150,580.34,1,247,2
150,C0151,223.96,1,34,1
151,C0152,3385.8599999999997,5,98,3
152,C0153,4744.79,6,138,3
153,C0154,3703.61,6,130,3
154,C0155,5377.83,7,77,0
155,C0156,7634.45,11,43,0
156,C0157,1876.1,5,50,1
157,C0158,3716.52,4,137,3
158,C0159,2072.41,3,45,1
159,C0160,2926.93,5,164,3
160,C0161,3141.83,8,165,3
161,C0162,4802.24,8,71,0
162,C0163,5775.28,6,107,3
163,C0164,3087.69,5,86,3
164,C0165,6708.1,9,32,0
165,C0166,2405.3500000000004,4,97,1
166,C0167,2300.42,3,118,1
167,C0168,5053.83,4,96,3
168,C0169,4533.32,6,55,3
169,C0170,4931.74,5,136,3
170,C0171,5145.35,5,96,3
171,C0172,2201.7,6,67,1
172,C0173,5808.04,8,147,0
173,C0174,2891.95,5,46,1
174,C0175,6210.53,10,68,0
